2025-11-27 14:28:21 - INFO - 📝 任务创建: 文件备份任务 (TASK_000001), 延迟: 2.0秒
2025-11-27 14:57:51 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.009秒
2025-11-27 14:57:56 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 2
2025-11-27 14:57:57 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.005秒
2025-11-27 14:58:02 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 3
2025-11-27 14:58:03 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.009秒
2025-11-27 14:58:08 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 4
2025-11-27 14:58:09 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 14:58:14 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 5
2025-11-27 14:58:15 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.051秒
2025-11-27 14:58:20 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 6
2025-11-27 14:58:22 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.020秒
2025-11-27 14:58:27 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 7
2025-11-27 14:58:28 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.016秒
2025-11-27 14:58:33 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 8
2025-11-27 14:58:34 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.019秒
2025-11-27 14:58:38 - INFO - 📝 周期任务创建: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 间隔: 10.0秒
2025-11-27 14:58:39 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 9
2025-11-27 14:58:40 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.005秒
2025-11-27 14:58:45 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 10
2025-11-27 14:58:46 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.016秒
2025-11-27 14:58:48 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 1
2025-11-27 14:58:48 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.506秒
2025-11-27 14:58:51 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 11
2025-11-27 14:58:52 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 14:58:57 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 12
2025-11-27 14:58:58 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.005秒
2025-11-27 14:58:58 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 2
2025-11-27 14:58:59 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.514秒
2025-11-27 14:59:03 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 13
2025-11-27 14:59:04 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.004秒
2025-11-27 14:59:09 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 3
2025-11-27 14:59:09 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.505秒
2025-11-27 14:59:09 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 14
2025-11-27 14:59:10 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 14:59:15 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 15
2025-11-27 14:59:16 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.019秒
2025-11-27 14:59:19 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 4
2025-11-27 14:59:20 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.517秒
2025-11-27 14:59:21 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 16
2025-11-27 14:59:22 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.004秒
2025-11-27 14:59:23 - INFO - 📝 任务创建: 数据库备份-my_database (TASK_000003), 延迟: 5.0秒
2025-11-27 14:59:27 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 17
2025-11-27 14:59:28 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.007秒
2025-11-27 14:59:28 - INFO - ▶️  任务开始: 数据库备份-my_database (TASK_000003), 执行次数: 1
2025-11-27 14:59:30 - INFO - ✅ 任务完成: 数据库备份-my_database (TASK_000003), 耗时: 2.007秒
2025-11-27 14:59:30 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 5
2025-11-27 14:59:31 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.510秒
2025-11-27 14:59:33 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 18
2025-11-27 14:59:34 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.017秒
2025-11-27 14:59:39 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 19
2025-11-27 14:59:40 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.005秒
2025-11-27 14:59:41 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 6
2025-11-27 14:59:41 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.517秒
2025-11-27 14:59:45 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 20
2025-11-27 14:59:46 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.017秒
2025-11-27 14:59:46 - INFO - 📝 任务创建: 临时文件清理 (TASK_000004), 延迟: 3.0秒
2025-11-27 14:59:49 - INFO - ▶️  任务开始: 临时文件清理 (TASK_000004), 执行次数: 1
2025-11-27 14:59:49 - INFO - ✅ 任务完成: 临时文件清理 (TASK_000004), 耗时: 0.003秒
2025-11-27 14:59:51 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 7
2025-11-27 14:59:52 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.504秒
2025-11-27 14:59:52 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 21
2025-11-27 14:59:53 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.008秒
2025-11-27 14:59:58 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 22
2025-11-27 14:59:59 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 15:00:02 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 8
2025-11-27 15:00:02 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.506秒
2025-11-27 15:00:04 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 23
2025-11-27 15:00:05 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.008秒
2025-11-27 15:00:10 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 24
2025-11-27 15:00:10 - INFO - 📝 任务创建: 发送邮件给admin@example.com (TASK_000005), 延迟: 0.0秒
2025-11-27 15:00:11 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 15:00:11 - INFO - ▶️  任务开始: 发送邮件给admin@example.com (TASK_000005), 执行次数: 1
2025-11-27 15:00:12 - INFO - ✅ 任务完成: 发送邮件给admin@example.com (TASK_000005), 耗时: 1.011秒
2025-11-27 15:00:12 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 9
2025-11-27 15:00:13 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.518秒
2025-11-27 15:00:16 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 25
2025-11-27 15:00:17 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 15:00:22 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 26
2025-11-27 15:00:23 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.005秒
2025-11-27 15:00:23 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 10
2025-11-27 15:00:23 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.515秒
2025-11-27 15:00:28 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 27
2025-11-27 15:00:29 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.006秒
2025-11-27 15:00:33 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 11
2025-11-27 15:00:34 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.516秒
2025-11-27 15:00:34 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 28
2025-11-27 15:00:35 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.015秒
2025-11-27 15:00:40 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 29
2025-11-27 15:00:41 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 15:00:44 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 12
2025-11-27 15:00:44 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.518秒
2025-11-27 15:00:46 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 30
2025-11-27 15:00:47 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.019秒
2025-11-27 15:00:52 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 31
2025-11-27 15:00:53 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.017秒
2025-11-27 15:00:54 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 13
2025-11-27 15:00:55 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.509秒
2025-11-27 15:00:58 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 32
2025-11-27 15:00:59 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.007秒
2025-11-27 15:01:02 - INFO - 📝 任务创建: 生成daily报表 (TASK_000006), 延迟: 2.0秒
2025-11-27 15:01:04 - INFO - ▶️  任务开始: 生成daily报表 (TASK_000006), 执行次数: 1
2025-11-27 15:01:05 - INFO - ✅ 任务完成: 生成daily报表 (TASK_000006), 耗时: 1.016秒
2025-11-27 15:01:05 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 33
2025-11-27 15:01:06 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.019秒
2025-11-27 15:01:06 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 14
2025-11-27 15:01:07 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.515秒
2025-11-27 15:01:11 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 34
2025-11-27 15:01:12 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.016秒
2025-11-27 15:01:17 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 15
2025-11-27 15:01:17 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.518秒
2025-11-27 15:01:17 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 35
2025-11-27 15:01:18 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.012秒
2025-11-27 15:01:23 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 36
2025-11-27 15:01:24 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.020秒
2025-11-27 15:01:27 - INFO - ▶️  任务开始: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 执行次数: 16
2025-11-27 15:01:28 - INFO - ✅ 任务完成: 网站检查-https://v8.chaoxing.com/ (TASK_000002), 耗时: 0.518秒
2025-11-27 15:01:29 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 37
2025-11-27 15:01:30 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.012秒
2025-11-27 15:01:31 - INFO - 🛑 调度器停止
2025-11-27 15:02:07 - INFO - 🚀 调度器启动
2025-11-27 15:02:07 - INFO - 📝 周期任务创建: 系统性能监控 (TASK_000001), 间隔: 5.0秒
2025-11-27 15:02:12 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 1
2025-11-27 15:02:13 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.020秒
2025-11-27 15:02:14 - INFO - 📝 任务创建: 发送邮件给2270732901@qq.com (TASK_000002), 延迟: 0.0秒
2025-11-27 15:02:14 - INFO - ▶️  任务开始: 发送邮件给2270732901@qq.com (TASK_000002), 执行次数: 1
2025-11-27 15:02:15 - INFO - ✅ 任务完成: 发送邮件给2270732901@qq.com (TASK_000002), 耗时: 1.014秒
2025-11-27 15:02:18 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 2
2025-11-27 15:02:19 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.013秒
2025-11-27 15:02:24 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 3
2025-11-27 15:02:26 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.009秒
2025-11-27 15:02:31 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 4
2025-11-27 15:02:32 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.007秒
2025-11-27 15:02:37 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 5
2025-11-27 15:02:38 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.050秒
2025-12-04 13:37:38 - INFO - 🚀 调度器启动
2025-12-04 13:37:40 - INFO - 📝 任务创建: 文件备份任务 (TASK_000001), 延迟: 2.0秒
2025-12-04 13:37:42 - INFO - ▶️  任务开始: 文件备份任务 (TASK_000001), 执行次数: 1
2025-12-04 13:37:42 - INFO - 📝 周期任务创建: 矩阵乘法任务 (TASK_000002), 间隔: 5.0秒
2025-12-04 13:37:43 - INFO - 📝 任务创建: HTTP GET任务 (TASK_000003), 延迟: 0.0秒
2025-12-04 13:37:43 - INFO - 📝 周期任务创建: 课堂提醒任务 (TASK_000004), 间隔: 15.0秒
2025-12-04 13:37:43 - INFO - ✅ 任务完成: 文件备份任务 (TASK_000001), 耗时: 1.012秒
2025-12-04 13:37:43 - INFO - ▶️  任务开始: HTTP GET任务 (TASK_000003), 执行次数: 1
2025-12-04 13:37:43 - INFO - 📝 任务创建: 随机数统计任务 (TASK_000005), 延迟: 3.0秒
2025-12-04 13:37:44 - INFO - ✅ 任务完成: HTTP GET任务 (TASK_000003), 耗时: 0.510秒
2025-12-04 13:37:46 - INFO - ▶️  任务开始: 随机数统计任务 (TASK_000005), 执行次数: 1
2025-12-04 13:37:46 - INFO - ✅ 任务完成: 随机数统计任务 (TASK_000005), 耗时: 0.001秒
2025-12-04 13:37:47 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 1
2025-12-04 13:37:47 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-12-04 13:44:02 - INFO - 🚀 调度器启动
2025-12-04 13:44:05 - INFO - 📝 任务创建: 文件备份任务 (TASK_000001), 延迟: 2.0秒
2025-12-04 13:44:07 - INFO - ▶️  任务开始: 文件备份任务 (TASK_000001), 执行次数: 1
2025-12-04 13:44:07 - INFO - 📝 任务创建: 文件备份任务 (TASK_000002), 延迟: 2.0秒
2025-12-04 13:44:08 - INFO - ✅ 任务完成: 文件备份任务 (TASK_000001), 耗时: 1.012秒
2025-12-04 13:44:09 - INFO - ▶️  任务开始: 文件备份任务 (TASK_000002), 执行次数: 1
2025-12-04 13:44:10 - INFO - ✅ 任务完成: 文件备份任务 (TASK_000002), 耗时: 1.015秒
2025-12-04 13:44:11 - INFO - 📝 周期任务创建: 矩阵乘法任务 (TASK_000003), 间隔: 5.0秒
2025-12-04 13:44:16 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000003), 执行次数: 1
